Sample.ID	age	sex	country
130	25	female	US
131	NA	female	US
132	26	female	US
133	26	female	US
134	NA	female	US
135	1.25	female	US
136	33	female	US
137	1.3	male	US
138	4.5	female	US
139	6	female	US
140	3	male	US
141	3	female	US
142	1.6	male	US
143	0.83	female	US
144	6	male	US
145	3	female	US
146	40	female	US
147	5	female	US
148	24	female	US
149	6	male	US
150	34	female	US
151	5	female	US
152	7	female	US
153	45	female	US
154	9	female	US
155	44	female	US
156	1	male	US
157	36	female	US
158	6	female	US
159	29	female	US
160	1	male	US
161	26	female	US
162	1	female	US
163	35	female	US
164	1	female	US
165	1	male	US
166	33	female	US
167	0.08	male	US
168	0.08	male	US
169	0.42	male	US
170	0.42	male	US
171	0.5	female	US
172	0.5	female	US
173	0.5	female	US
174	0.5	female	US
175	0.58	female	US
176	0.58	female	US
177	0.67	female	US
178	0.67	female	US
179	0.75	male	US
180	0.75	male	US
181	0.75	female	US
182	0.92	male	US
183	0.92	male	US
184	0.42	female	US
185	0.42	male	US
186	0.08	male	US
187	0.08	male	US
188	0.08	male	US
189	0.08	male	US
190	0.25	female	US
191	0.25	female	US
192	0.17	female	US
193	0.17	female	US
194	0.17	female	US
195	0.17	female	US
196	0.25	male	US
197	0.25	male	US
198	0.25	female	US
199	0.25	female	US
200	0.33	male	US
201	0.33	female	US
202	0.33	male	US
203	0.33	male	US
204	0.42	female	US
205	0.42	female	US
206	57	male	US
207	54	female	US
208	14	female	US
209	14	female	US
210	46	female	US
211	16	female	US
212	16	male	US
213	43	male	US
214	46	female	US
215	13	female	US
216	13	female	US
217	45	male	US
218	43	female	US
219	13	male	US
220	13	male	US
221	48	male	US
222	47	female	US
223	14	male	US
224	14	male	US
225	51	male	US
226	49	female	US
227	14	female	US
228	14	male	US
229	48	male	US
230	49	female	US
231	16	female	US
232	16	male	US
233	11	male	US
234	46	male	US
235	42	female	US
236	13	male	US
237	13	male	US
238	43	female	US
239	14	male	US
240	14	male	US
241	50	female	US
242	15	female	US
243	15	male	US
244	9	male	US
245	43	female	US
246	14	male	US
247	14	male	US
248	30	female	US
249	49	male	US
250	43	female	US
251	14	male	US
252	14	male	US
253	3	male	US
254	41	male	US
255	39	female	US
256	15	male	US
257	15	male	US
258	50	male	US
259	50	female	US
260	15	male	US
261	15	male	US
262	50	male	US
263	49	female	US
264	14	male	US
265	14	male	US
266	43	female	US
267	14	female	US
268	14	female	US
269	11	male	US
270	9	male	US
271	44	male	US
272	44	female	US
273	7	female	US
274	14	male	US
275	14	male	US
276	50	female	US
277	16	female	US
278	16	male	US
279	47	male	US
280	46	female	US
281	13	male	US
282	13	male	US
283	47	female	US
284	16	female	US
285	16	male	US
286	52	female	US
287	14	female	US
288	14	female	US
289	41	female	US
290	14	female	US
291	14	female	US
292	50	male	US
293	47	female	US
294	14	female	US
295	14	female	US
296	41	female	US
297	14	female	US
298	14	female	US
299	35	female	US
300	8	female	US
301	16	female	US
302	16	male	US
303	47	female	US
304	14	female	US
305	14	male	US
306	40	male	US
307	36	female	US
308	16	female	US
309	16	male	US
310	16	male	US
311	39	female	US
312	15	male	US
313	15	male	US
314	42	female	US
315	13	female	US
316	13	female	US
317	10	male	US
318	52	male	US
319	51	female	US
320	16	female	US
321	16	female	US
322	44	male	US
323	45	female	US
324	17	male	US
325	17	male	US
326	46	male	US
327	54	female	US
328	15	female	US
329	15	female	US
330	54	male	US
331	47	female	US
332	15	male	US
333	15	male	US
334	49	male	US
335	49	female	US
336	15	female	US
337	15	female	US
338	10	male	US
339	44	male	US
340	42	female	US
341	15	female	US
342	15	female	US
343	46	male	US
344	45	female	US
345	14	male	US
346	14	male	US
347	45	male	US
348	48	female	US
349	14	female	US
350	14	female	US
351	7	male	US
352	44	male	US
353	42	female	US
354	15	male	US
355	15	male	US
356	52	male	US
357	53	female	US
358	16	male	US
359	16	male	US
360	57	male	US
361	50	female	US
362	16	female	US
363	16	male	US
364	53	male	US
365	48	female	US
366	15	female	US
367	15	female	US
368	41	male	US
369	41	female	US
370	16	male	US
371	16	male	US
372	9	male	US
373	44	male	US
374	44	female	US
375	14	female	US
376	14	female	US
377	45	male	US
378	41	female	US
379	16	male	US
380	16	male	US
381	54	male	US
382	50	female	US
383	16	female	US
384	16	female	US
385	57	male	US
386	55	female	US
387	16	female	US
388	16	male	US
389	47	male	US
390	43	female	US
391	16	female	US
392	16	female	US
393	48	male	US
394	47	female	US
395	15	female	US
396	15	female	US
397	2	female	US
398	46	male	US
399	49	female	US
400	15	female	US
401	15	female	US
402	10	female	US
403	44	female	US
404	15	male	US
405	47	female	US
406	13	male	US
407	13	male	US
408	37	male	US
409	35	female	US
410	15	male	US
411	15	male	US
412	10	male	US
413	46	male	US
414	46	female	US
415	16	female	US
416	16	male	US
